Stat,0,1,2,3,4,5
+/-,-3.8564178705622836,-0.75245430420273118,-0.28215679414825368,0.18814071590622397,0.75249772797159709,4.2326993023747317
3PA,-0.87157913791574237,-0.87157913791574249,-0.46069431407977218,-0.049809490243801949,0.7719601574281385,6.9352325149676917
3PM,-0.63715946965766845,-0.63715946965766845,-0.63715946965766845,-0.63715946965766845,0.22095898085071369,8.8021434859345362
AST,-0.85638742144386537,-0.85638742144386537,-0.4457000253036788,-0.035012629163492223,0.7863621631168809,7.7680478975000531
BLK,-0.52141103859406557,-0.52141103859406557,-0.52141103859406557,-0.52141103859406557,0.62744351139114651,13.26484356122848
DKPoints,-1.5991165907443587,-0.90886985581953039,-0.38652097533587654,0.13582790514777734,0.82607464007260567,5.5085592472653602
DREB,-1.1575269887764874,-0.78012524750649959,-0.40272350623651176,-0.025321764966524055,0.72948171757345148,6.3905078366232679
FGA,-1.4657439282820468,-0.90974234350067928,-0.35374075871931171,0.20226082606205584,0.75826241084342338,6.5036121202508879
FGM,-1.2300898442716206,-0.88363015523467903,-0.53717046619773734,0.15574891187614601,0.84866828995002952,6.0455636255041538
FTA,-0.79435226103172318,-0.79435226103172318,-0.79435226103172318,-0.05953613515544353,0.67527999072083611,9.4930735012361929
FTM,-0.73809489136885076,-0.73809489136885076,-0.73809489136885076,0.17200214197241429,0.62705065864304677,9.272972475385064
MIN,-2.1712853133588879,-0.93911532967964562,-0.18085687818472748,0.38783696043646115,0.95653079905764971,3.0417415406686743
OREB,-0.71675427599981789,-0.71675427599981789,-0.71675427599981789,-0.021089666908922656,0.67457494218197256,11.805208687636295
PF,-1.3207826678877403,-0.63040493529431141,-0.63040493529431141,0.059972797299117614,0.75035052989254658,2.8214837276728337
PTS,-1.2491057539641963,-0.98517577763732123,-0.4573158249835711,0.070544127670179022,0.8623340566508042,6.2728985713517424
REB,-1.1730613479387695,-0.88676802921860465,-0.31418139177827498,-0.027888073058110145,0.83099188310238437,6.5568582575056809
STL,-0.74784143202494924,-0.74784143202494924,-0.74784143202494924,0.27357847983593603,0.27357847983593603,7.4235178628621323
TO,-0.94226102065407202,-0.94226102065407202,-0.21602853111037168,-0.21602853111037168,0.51020395843332866,7.0462963643266319
home_team_score,-3.1128577136193347,-0.87841284303052536,-0.2768315317181535,0.23880959226387946,0.84039090357625135,3.5904768981470934
visit_team_score,-2.7938145112268997,-0.8355802520130805,-0.32473653221817123,0.27124780754255634,0.78209152733746556,3.8471538461069215
Home,-0.99931649983766158,-0.99931649983766158,-0.99931649983766158,1.0006521443448275,1.0006521443448275,1.0006521443448275
home_win_pct,-2.4769486949058517,-0.84330583361378664,-0.29875821318309848,0.32358192445197381,0.87631823090417649,2.4239798889703432
away_win_pct,-2.4583484776323279,-0.81237964400595986,-0.32104566381898436,0.3326421532993396,0.88423438450121994,2.4795580232467764
team_win_pct,-2.4726300926691263,-0.83081728943671029,-0.30543719240233724,0.32977451974482525,0.88085988840134033,2.4528083170281216
opponent_win_pct,-2.4618798858987994,-0.82470041231427471,-0.3076963680244249,0.32575002858295871,0.88214627291214454,2.4496585348547746
